mu,xi,sigma,c,generations,extinct,final_fitness,final_variance,final_clusters,final_silhouette,speciation
0.005,0.05,2.0,0.005,50,False,0.9663545842384359,0.00739045919607217,4,0.9999999500802642,True
0.005,0.05,2.0,0.005,100,False,0.890252633373144,1.2391704096085906e-32,1,,False
0.005,0.05,2.0,0.005,200,False,0.5334726173651583,6.245330451658577e-05,2,1.0,True
0.005,0.05,2.0,0.01,50,False,0.8773111262507949,0.004120694803904579,3,0.9959169044724168,True
0.005,0.05,2.0,0.01,100,False,0.5617719031397561,1.604916543109879e-32,1,,False
0.005,0.05,2.0,0.01,200,True,0.200684723691103,3.228034813908089e-07,2,0.9911415680998599,True
0.005,0.1,0.2,0.0,50,False,0.9385074100442391,8.84896557456828e-05,3,0.99,True
0.005,0.1,0.2,0.0,100,False,0.9522218365150842,1.991531933117926e-33,1,,False
0.005,0.1,0.2,0.0,200,False,0.9540741045362592,2.5243223966394263e-33,1,,False
0.005,0.1,0.2,0.002,50,False,0.5596260040272173,6.712166782743328e-34,1,,False
0.005,0.1,0.2,0.002,100,True,0.20279050005872776,2.5524590294207087e-33,1,,False
0.005,0.1,0.2,0.002,200,True,0.20583223900093242,2.8335244306797208e-33,1,,False
0.005,0.1,0.2,0.005,50,True,0.20106664337924587,9.793353767209095e-33,1,,False
0.005,0.1,0.2,0.005,100,True,0.20924471598368607,1.39154457013054e-32,1,,False
0.005,0.1,0.2,0.005,200,True,0.21149059162825729,2.851580023908351e-33,1,,False
0.005,0.1,0.2,0.01,50,True,0.21554755026648237,4.0468605252324196e-33,1,,False
0.005,0.1,0.2,0.01,100,True,0.22186912356042982,2.680894482587032e-32,1,,False
0.005,0.1,0.2,0.01,200,True,0.21192623610743064,6.293608932140357e-06,2,0.9999998625022303,True
0.005,0.1,0.5,0.0,50,False,0.8891698135256294,0.006693439479829352,3,0.9990604758355224,True
0.005,0.1,0.5,0.0,100,False,0.9778163599326685,0.0008625516392805795,5,0.9999999423832461,True
0.005,0.1,0.5,0.0,200,False,0.9607195692976834,5.8163930676427115e-33,1,,False
0.005,0.1,0.5,0.002,50,False,0.8530367253729361,0.0008948060679628839,2,0.9999999992064004,True
0.005,0.1,0.5,0.002,100,False,0.7092272322676674,4.788345675221467e-33,1,,False
0.005,0.1,0.5,0.002,200,False,0.32410149214861045,3.7266744423893016e-33,1,,False
0.005,0.1,0.5,0.005,50,False,0.535804296970179,0.00122201994185665,3,0.999999968586791,True
0.005,0.1,0.5,0.005,100,True,0.2056849904019656,4.2356014301936287e-32,1,,False
0.005,0.1,0.5,0.005,200,True,0.20092231262848384,5.565997724589874e-32,1,,False
0.005,0.1,0.5,0.01,50,True,0.2041985645521244,4.391120273202898e-33,1,,False
0.005,0.1,0.5,0.01,100,True,0.2054494448886994,2.9793233460009106e-33,1,,False
0.005,0.1,0.5,0.01,200,True,0.20317154796720427,3.919568369121554e-34,1,,False
0.005,0.1,1.0,0.0,50,False,0.9696569073369686,0.007139306734754447,3,0.9999999845807903,True
0.005,0.1,1.0,0.0,100,False,0.9710702874830784,2.911539654288753e-05,2,1.0,True
0.005,0.1,1.0,0.0,200,False,0.9723316771528853,3.925285967904235e-32,1,,False
0.005,0.1,1.0,0.002,50,False,0.9608387654976533,0.004724934315167914,2,0.9999999873017272,True
0.005,0.1,1.0,0.002,100,False,0.8855223277392303,0.00010893024743790184,2,0.9899999842763387,True
0.005,0.1,1.0,0.002,200,False,0.7558378956452461,0.0005392187898703251,2,0.9999999883904945,True
0.005,0.1,1.0,0.005,50,False,0.8975193386023353,3.409693277013066e-05,2,1.0,True
0.005,0.1,1.0,0.005,100,False,0.5567130004706032,1.7381517748094804e-32,1,,False
0.005,0.1,1.0,0.005,200,True,0.2019606077305269,3.135052837597847e-33,1,,False
0.005,0.1,1.0,0.01,50,False,0.5294779560762164,3.186842979549934e-05,2,0.9899999897221429,True
0.005,0.1,1.0,0.01,100,True,0.20085174948836979,5.242381308622056e-32,1,,False
0.005,0.1,1.0,0.01,200,True,0.20033044252947588,5.770567595870255e-32,1,,False
0.005,0.1,2.0,0.0,50,False,0.9972680715977884,0.0022729240043032717,2,0.9999999983024446,True
0.005,0.1,2.0,0.0,100,False,0.9912664427093175,0.0003608942874608106,2,0.9999999462967275,True
0.005,0.1,2.0,0.0,200,False,0.9969429339818829,3.9024155498146365e-33,1,,False
